,count,size
一,56620,566
市,12637,126
人,9445,94
町,8538,85
用,8217,82
大,8147,81
日,8082,80
彼,7885,78
者,7525,75
子,7340,73
中,7062,70
本,6608,66
社,6536,65
会,6143,61
利,5967,59
田,5800,58
合,5690,56
生,5618,56
私,5555,55
山,5473,54
目,5139,51
学,5133,51
事,4982,49
年,4950,49
月,4847,48
定,4672,46
行,4606,46
上,4559,45
時,4537,45
成,4394,43
知,4246,42
提,4161,41
式,4146,41
株,4140,41
三,4059,40
供,4048,40
場,3884,38
小,3882,38
分,3738,37
手,3679,36
下,3651,36
県,3573,35
川,3550,35
見,3517,35
的,3474,34
習,3453,34
業,3445,34
約,3443,34
入,3437,34
出,3345,33
無,3126,31
高,3074,30
当,3068,30
法,3068,30
等,2929,29
間,2922,29
万,2917,29
以,2892,28
第,2885,28
地,2835,28
様,2829,28
女,2816,28
丁,2751,27
契,2673,26
方,2669,26
天,2639,26
区,2599,25
開,2569,25
自,2568,25
有,2565,25
金,2559,25
新,2558,25
野,2553,25
心,2544,25
木,2544,25
円,2540,25
条,2500,25
発,2496,24
物,2477,24
算,2450,24
千,2446,24
対,2409,24
水,2396,23
取,2385,23
今,2374,23
権,2373,23
東,2357,23
内,2327,23
要,2324,23
前,2301,23
報,2301,23
済,2268,22
意,2257,22
所,2236,22
保,2231,22
書,2229,22
理,2227,22
明,2222,22
正,2196,21
名,2188,21
国,2164,21
口,2160,21
情,2151,21
必,2140,21
如,2134,21
性,2126,21
思,2118,21
道,2093,20
来,2091,20
長,2080,20
能,2019,20
工,2018,20
加,1981,19
不,1978,19
問,1964,19
食,1955,19
作,1934,19
関,1933,19
原,1915,19
言,1913,19
御,1901,19
相,1869,18
度,1833,18
井,1829,18
海,1809,18
級,1795,17
島,1790,17
品,1788,17
気,1765,17
立,1750,17
神,1735,17
持,1727,17
後,1714,17
為,1711,17
和,1706,17
考,1697,16
岡,1697,16
得,1690,16
美,1689,16
花,1689,16
身,1685,16
実,1679,16
牛,1660,16
百,1657,16
家,1655,16
番,1646,16
北,1636,16
外,1627,16
部,1624,16
体,1622,16
難,1609,16
務,1603,16
平,1579,15
馬,1572,15
号,1569,15
屋,1561,15
京,1561,15
松,1558,15
西,1541,15
規,1535,15
易,1530,15
点,1518,15
十,1516,15
雨,1513,15
白,1509,15
良,1505,15
暗,1500,15
通,1499,14
石,1485,14
力,1485,14
件,1479,14
解,1476,14
夫,1465,14
死,1464,14
項,1451,14
村,1450,14
同,1441,14
受,1439,14
数,1437,14
何,1432,14
可,1432,14
貧,1431,14
動,1426,14
個,1423,14
多,1421,14
限,1408,14
産,1391,13
先,1384,13
機,1380,13
過,1377,13
全,1371,13
頭,1368,13
玉,1364,13
画,1350,13
足,1347,13
義,1346,13
都,1341,13
善,1336,13
火,1335,13
検,1334,13
結,1313,13
尾,1302,13
負,1296,12
術,1295,12
記,1292,12
少,1290,12
虎,1284,12
代,1282,12
面,1270,12
二,1267,12
連,1266,12
信,1265,12
願,1259,12
確,1257,12
題,1254,12
福,1254,12
果,1247,12
愛,1240,12
象,1237,12
他,1230,12
雄,1228,12
五,1226,12
崎,1222,12
化,1210,12
谷,1206,12
車,1206,12
型,1194,11
技,1193,11
特,1188,11
制,1187,11
悪,1182,11
母,1182,11
基,1174,11
縄,1173,11
認,1167,11
変,1165,11
重,1164,11
葉,1149,11
店,1147,11
親,1141,11
別,1138,11
皮,1133,11
話,1127,11
密,1126,11
藤,1125,11
回,1119,11
土,1117,11
該,1115,11
管,1115,11
次,1112,11
則,1103,11
求,1101,11
段,1098,10
違,1086,10
価,1084,10
流,1081,10
犬,1080,10
非,1078,10
将,1077,10
証,1076,10
引,1074,10
設,1069,10
風,1063,10
売,1063,10
際,1061,10
念,1060,10
南,1060,10
責,1059,10
仏,1058,10
共,1058,10
付,1057,10
切,1057,10
病,1055,10
古,1052,10
説,1052,10
其,1047,10
男,1042,10
任,1036,10
決,1032,10
運,1030,10
支,1024,10
富,1023,10
之,1021,10
財,1018,10
珠,1018,10
真,1016,10
帰,1015,10
直,1013,10
収,1010,10
欲,1004,10
薬,1002,10
集,1001,10
類,998,9
安,996,9
己,994,9
期,991,9
使,991,9
空,987,9
容,983,9
里,981,9
止,975,9
君,974,9
現,973,9
形,971,9
在,966,9
乱,965,9
鬼,964,9
活,964,9
護,963,9
計,957,9
父,954,9
朝,953,9
秘,952,9
含,950,9
楽,950,9
我,945,9
箱,945,9
追,944,9
囲,943,9
暇,939,9
局,939,9
参,937,9
示,935,9
案,934,9
応,932,9
電,932,9
字,927,9
便,923,9
守,921,9
語,920,9
忘,917,9
階,916,9
文,915,9
仕,914,9
創,914,9
達,914,9
納,911,9
表,910,9
進,910,9
移,907,9
終,906,9
門,904,9
調,902,9
遅,902,9
種,900,9
製,898,8
失,894,8
舟,893,8
著,893,8
盗,892,8
従,889,8
兵,886,8
光,884,8
誰,884,8
似,884,8
編,884,8
主,883,8
夜,881,8
起,879,8
江,878,8
細,878,8
仲,868,8
士,866,8
短,865,8
許,865,8
世,864,8
味,863,8
宮,860,8
飲,858,8
休,857,8
員,856,8
争,852,8
飛,851,8
買,851,8
向,849,8
曜,848,8
組,846,8
始,845,8
属,843,8
沢,837,8
折,837,8
戸,837,8
週,836,8
害,835,8
質,834,8
聞,833,8
穴,832,8
鷹,831,8
破,830,8
枚,825,8
戦,825,8
城,823,8
軍,820,8
影,819,8
若,819,8
論,818,8
故,818,8
適,818,8
郵,817,8
瀬,817,8
央,817,8
深,815,8
虫,815,8
準,813,8
係,813,8
覆,812,8
友,812,8
津,810,8
続,810,8
識,810,8
読,810,8
公,809,8
状,808,8
勝,808,8
改,808,8
払,807,8
賊,805,8
教,805,8
刀,804,8
走,803,8
恩,802,8
泣,801,8
近,800,8
陽,800,8
去,799,7
七,797,7
独,796,7
蟻,795,7
米,794,7
処,793,7
想,790,7
鳥,789,7
着,789,7
早,789,7
更,787,7
蔵,787,7
草,786,7
顔,783,7
由,781,7
急,781,7
異,780,7
広,777,7
経,775,7
委,774,7
注,773,7
笑,772,7
掛,767,7
討,766,7
役,764,7
望,762,7
校,762,7
交,761,7
存,761,7
雲,760,7
防,760,7
予,759,7
肝,757,7
営,756,7
了,756,7
貴,754,7
骨,752,7
墨,752,7
敵,749,7
英,749,7
然,748,7
損,746,7
格,745,7
捨,745,7
功,742,7
沈,742,7
罪,741,7
八,740,7
至,739,7
武,739,7
載,739,7
協,738,7
留,738,7
奈,737,7
阪,737,7
最,737,7
諾,735,7
指,734,7
耳,733,7
尺,733,7
残,730,7
院,730,7
養,728,7
張,727,7
河,727,7
春,727,7
団,726,7
徳,726,7
議,723,7
往,723,7
照,723,7
反,722,7
況,722,7
転,721,7
各,721,7
夏,720,7
元,719,7
冠,719,7
秋,719,7
因,716,7
渡,715,7
苦,715,7
鞭,715,7
越,712,7
災,710,7
位,708,7
断,706,7
孝,705,7
造,705,7
割,705,7
居,701,7
青,700,7
々,699,6
猫,698,6
健,698,6
怖,697,6
扱,697,6
離,695,6
久,692,6
髪,691,6
図,688,6
横,685,6
香,684,6
競,683,6
魚,681,6
強,680,6
託,680,6
吉,680,6
好,679,6
派,679,6
料,679,6
浜,678,6
未,678,6
臣,677,6
角,677,6
履,677,6
腹,677,6
紙,677,6
太,677,6
値,676,6
析,675,6
寒,674,6
降,672,6
判,671,6
冷,671,6
烏,669,6
倒,668,6
配,668,6
遠,668,6
構,667,6
鶏,667,6
再,664,6
孔,663,6
駆,661,6
童,661,6
返,661,6
録,660,6
緒,660,6
恥,660,6
器,660,6
恵,660,6
駄,660,6
否,659,6
領,657,6
積,657,6
興,656,6
卵,655,6
橋,655,6
宿,655,6
陰,653,6
首,651,6
具,651,6
室,651,6
単,651,6
羊,650,6
企,649,6
音,649,6
治,649,6
郡,648,6
捕,647,6
懐,646,6
船,645,6
効,645,6
遂,644,6
堕,643,6
置,641,6
禍,641,6
与,641,6
幽,641,6
命,640,6
璧,640,6
満,640,6
昨,639,6
完,639,6
験,639,6
拙,639,6
商,639,6
静,639,6
台,637,6
素,636,6
締,635,6
幸,635,6
客,634,6
込,632,6
般,631,6
佐,631,6
量,631,6
統,630,6
九,630,6
鉄,628,6
促,626,6
毛,626,6
阿,625,6
視,625,6
費,625,6
例,624,6
態,624,6
衣,624,6
突,624,6
働,623,6
整,623,6
伊,622,6
席,622,6
王,622,6
刊,621,6
血,620,6
赤,618,6
師,617,6
待,617,6
固,617,6
官,616,6
寄,615,6
酒,613,6
銀,612,6
府,611,6
漏,610,6
請,608,6
清,608,6
頼,607,6
駿,606,6
半,606,6
志,605,6
旅,602,6
撃,602,6
乗,601,6
誠,601,6
伯,601,6
束,601,6
怒,601,6
四,600,6
疑,599,5
氏,599,5
岸,597,5
課,597,5
令,596,5
老,596,5
振,596,5
除,595,5
住,595,5
座,594,5
両,594,5
械,594,5
及,594,5
妻,593,5
布,591,5
竜,591,5
絡,591,5
感,590,5
貨,590,5
消,590,5
飯,589,5
歌,588,5
蓋,588,5
寸,588,5
粉,588,5
策,588,5
森,587,5
殺,587,5
溺,587,5
談,587,5
匠,586,5
声,586,5
替,586,5
那,586,5
禁,585,5
推,585,5
泉,584,5
被,584,5
送,584,5
程,583,5
評,582,5
灯,582,5
敗,582,5
剣,582,5
裁,582,5
樹,581,5
観,581,5
蛇,580,5
探,580,5
登,579,5
精,579,5
境,579,5
屈,578,5
眼,578,5
装,577,5
依,577,5
猛,577,5
症,577,5
雷,577,5
絶,576,5
患,576,5
試,575,5
浄,573,5
甲,573,5
缶,572,5
困,571,5
痴,570,5
極,569,5
銭,569,5
矩,569,5
挙,568,5
枝,568,5
奔,568,5
閑,567,5
林,567,5
隙,566,5
複,566,5
険,566,5
匹,565,5
傾,565,5
牧,565,5
初,565,5
郎,565,5
研,564,5
謹,564,5
孤,564,5
賤,564,5
担,563,5
礼,563,5
譲,563,5
祭,562,5
施,562,5
熊,562,5
乏,562,5
群,561,5
練,561,5
医,561,5
助,561,5
誤,560,5
升,559,5
優,559,5
喪,559,5
也,559,5
暖,558,5
益,558,5
潰,557,5
弾,557,5
哀,557,5
毎,556,5
堪,556,5
印,555,5
根,555,5
申,555,5
賠,555,5
縁,554,5
軽,554,5
授,554,5
矢,553,5
鼠,552,5
煙,552,5
労,551,5
償,551,5
選,550,5
稼,550,5
頑,549,5
告,549,5
模,549,5
廃,549,5
賀,548,5
放,548,5
触,546,5
夕,544,5
狗,544,5
柳,544,5
危,543,5
伝,542,5
答,542,5
昭,542,5
逆,542,5
宝,542,5
鹿,541,5
衛,540,5
塚,539,5
落,538,5
倉,538,5
駅,538,5
丸,538,5
夢,537,5
網,537,5
額,537,5
修,536,5
押,535,5
背,534,5
政,533,5
綿,533,5
欠,532,5
疲,532,5
域,532,5
導,531,5
泰,530,5
察,530,5
羅,530,5
仙,529,5
催,528,5
左,528,5
唱,528,5
呼,527,5
宇,527,5
朋,526,5
販,526,5
荷,525,5
隠,524,5
節,524,5
盟,523,5
常,521,5
坂,521,5
壁,519,5
息,519,5
民,518,5
干,517,5
建,517,5
黄,516,5
堤,516,5
資,516,5
勉,515,5
採,515,5
旨,515,5
戻,515,5
葵,514,5
総,514,5
却,514,5
到,513,5
奪,513,5
寧,510,5
色,510,5
散,510,5
歳,509,5
餅,509,5
慮,508,5
尋,508,5
索,508,5
魔,508,5
遺,508,5
亦,508,5
忍,508,5
豊,507,5
寺,506,5
像,506,5
股,505,5
夷,505,5
濫,505,5
浮,505,5
黙,504,5
唯,504,5
斯,504,5
既,504,5
削,504,5
扇,504,5
系,503,5
占,503,5
枯,503,5
矛,503,5
線,503,5
瑠,502,5
朽,502,5
萎,502,5
巾,502,5
鐘,502,5
肉,501,5
顧,501,5
岩,501,5
速,501,5
璃,500,5
尼,500,5
憂,500,5
詩,500,5
暴,500,5
砲,500,5
惜,500,5
港,499,4
霜,499,4
迅,499,4
筆,498,4
州,497,4
尽,497,4
