,words
0,禱 摑 穣
1,顚
10,段 違 価 流 犬 非 将 証 引 設 風 売 際 念 南 責 仏 共 付 切 病 古 説 其 男 任 決 運 支 富 之 財 珠 真 帰 直 収 欲 薬 集
11,型 技 特 制 悪 母 基 縄 認 変 重 葉 店 親 別 皮 話 密 藤 回 土 該 管 次 則 求
12,負 術 記 少 虎 代 面 二 連 信 願 確 題 福 果 愛 象 他 雄 五 崎 化 谷 車
126,市
13,産 先 機 過 全 頭 玉 画 足 義 都 善 火 検 結 尾
14,通 石 力 件 解 夫 死 項 村 同 受 数 何 可 貧 動 個 多 限
15,平 馬 号 屋 京 松 西 規 易 点 十 雨 白 良 暗
16,考 岡 得 美 花 身 実 牛 百 家 番 北 外 部 体 難 務
17,級 島 品 気 立 神 持 後 為 和
18,相 度 井 海
19,加 不 問 食 作 関 原 言 御
2,猪 釧 龍 磯 弩 倶 樽 芦 泊 嵐 牟 郁 皆 諸 丼 貞 萩 筑 筒 繁 曽 圭 芽 紗 伸 榎 吾 典 樋 峰 洲 諏 滑 拓 鮭 鍋 添 滝 湾 荘 舌 宗 棚 朗 桐 昇 淀 淑 翔 荻 飾 斐 慶 苫 碧 淳 秦 卓 湧 茉 澄 尻 宣 薩 狛 敬 揖 晃 苅 栖 祇 鴻 潔 桂 刈 宅 窪 亨 涌 鱈 佑 笹 幕 函 轟 玲 巳 臼 梶 邸 悦 舘 薄 蒲 嵩 颯 畠 肥 鯖 俣 楯 鮫 亥 寛 燈 蘭 朱 宰 憲 岬 橘 駒 冨 柄 狩 雫 均 惣 迫 砥 蛸 櫛 幣 漬 汲 槻 鮪 軒 脇 恒 斑 姶 寅 斉 莫 靖 磐 軸 弓 稜 宛 耕 斜 稔 杏 亮 摂 鴨 霧 曳 貢 縞 呉 玄 緋 耶 篤 曇 彰 肇 唐 辰 謙 騨 絢 漁 軟 祥 麗 禅 諌 茜 聡 灘 睦 醐 浪 壬 峯 副 朴 庵 毅 亘 炭 榊 牡 孟 燕 桶 醍 椿 萌 鏑 銚 杜 橿 晶 剥 琵 鱗 湊 宋 楓 釜 娼 潤 匡 篭 蕨 謳 頚 琶 笛 蓮 禎 仔 茅 杭 湘 冴 征 麹 楠 輔 槙 奎 巣 潮 琳 壱 厨 呑 楊 於 樫 儲 祓 筍 會 怜 姜 腐 播 鰆 餃 邉 實 凜 鰤 渕 軋 痺 槇 黛 汁 拮 苺 杠 揉 鮨 并 藪 扁 綺 燻 轢 腱
20,道 来 長 能 工
21,正 名 国 口 情 必 如 性 思
22,済 意 所 保 書 理 明
23,水 取 今 権 東 内 要 前 報
24,発 物 算 千 対
25,区 開 自 有 金 新 野 心 木 円 条
26,契 方 天
27,丁
28,以 第 地 様 女
29,等 間 万
3,犠 赴 服 巻 没 楼 蓄 壑 痒 濁 乙 才 迷 写 亀 阜 凸 鬱 賦 措 握 狂 賛 遜 竹 狸 咲 給 遊 妹 堀 震 勘 眠 渋 摩 賢 窯 繊 昔 排 遵 援 署 略 停 茨 俺 司 啓 携 障 拡 呂 勇 甘 豆 吸 茂 債 宙 悲 鎌 詞 救 章 育 尿 喜 塩 簿 紅 厳 憩 徴 霞 稿 傲 尊 柴 訳 房 旬 娘 波 菌 杉 宜 省 亜 弥 粕 嘉 隊 借 括 涼 充 舗 訴 撮 敷 刻 植 殿 吹 包 枠 慎 融 幅 智 逃 診 桁 壊 頓 閣 脱 沼 献 刷 柔 箕 柱 秩 抗 崇 伏 揮 扶 袋 兼 鍵 棒 棟 歓 緊 脚 脂 卒 旭 兜 裕 拘 射 紫 拍 称 挽 募 随 鳩 趣 浴 賃 款 泡 捉 軌 駐 菩 宴 誕 斎 奥 歴 陵 酷 遡 劇 曲 粧 鏡 抑 酸 傍 鑑 梨 梅 狙 猶 韓 蔑 訂 盆 鈴 串 砕 譜 抽 拭 帯 肖 汽 轄 柵 拝 嫡 舶 漆 即 姿 併 貿 審 妥 撲 恐 腎 唄 鮮 帽 遮 誘 麺 琢 蒸 孫 齢 砂 紐 貯 胡 培 腰 祈 慕 幻 雌 挑 釣 浸 循 勤 埋 吊 彩 煎 傘 滅 漫 緩 偏 姦 奮 餓 朕 妨 閲 督 戊 遷 錯 抵 嫉 儀 磨 粒 飢 弦 卑 免 披 秀 渦 汎 餌 肘 蒔 刑 訟 洛 覗 誇 懇 准 暁 栓 旺 拒 汚 巡 睡 陥 昆 嘆 姫 漸 荒 圏 恋 厄 距 后 脈 液 衰 需 魅 詠 旋 偽 綱 錠 瞬 襲 弊 窟 襟 殉 伽 泥 伐 劣 暦 坊 雁 穫 猟 戯 辺 層 肌 懲 獣 毘 垢 蝦 獲 弧 臆 辱 挟 郷 濃 殊 掃 践 訓 裂 芝 蛮 只 鎮 績 抄 燃 沿 膜 崖 倫 耐 微 謡 廊 紡 魁 露 硫 巌 斬 腕 雇 端 冗 詐 曹 磁 粋 鰹 丙 勾 臥 稚 臨 涙 袖 蚕 符 這 淡 逓 膏 盾 塀 庄 祖 塁 豪 鉛 槽 某 賂 賞 遭 嗣 雰 酬 虚 瓦 陪 厘 殻 候 伎 径 燥 韻 彫 憶 芯 肢 垂 茶 洪 漂 滋 搭 飼 嘔 零 檜 騰 縫 殖 秒 峠 勢 祝 采 毀 袴 赦 床 序 墜 褒 彙 腫 銘 窃 謀 狭 片 偉 屯 薫 藍 呈 佇 拷 麓 騒 揃 箋 搬 丹 脳 悔 肴 銅 恭 肪 庇 傑 鋼 舷 緯 灸 謄 窒 衝 弔 僅 穏 核 疾 蛛 虻 僚 瞭 双 銃 鳳 偶 躍 噂 踊 耗 粛 箸 嚇 塊 旗 欺 婆 繕 恣 茎 糧 墾 冥 呪 蜂 帥 酪 壌 鎖 癒 炎 蓬 掌 篇 慌 覇 縦 偵 琴 藁 隻 胞 剖 詣 陳 諧 畑 痢 畿 薦 畔 罵 洩 骸 皿 烈 簾 逮 憤 慈 繭 剤 艦 賭 酢 幼 淵 咎 濯 演 羨 掘 但 膨 踪 葦 漱 蔭 弛 虹 謁 爆 痩 畝 鰯 粘 蛍 堆 拐 酔 鉱 畜 飽 嫁 幡 韋 鞍 透 坑 蜘 諮 詮 娯 遇 廷 扉 柯 翌 瑕 渓 紳 芳 礁 党 租 擁 喉 架 膿 穀 棋 喝 棺 巫 浩 焚 跳 勅 賜 賓 勿 誓 嶋 絞 勲 斤 妙 伺 晴 頒 酌 叔 貼 涯 蹴 蔽 婿 嗅 衡 陛 硝 囚 侶 朔 脅 鯨 源 詔 汰 諦 箇 吏 酎 欄 膚 爵 疫 並 氾 累 胴 姑 藻 沖 裸 揺 壺 艶 珍 綻 醸 椒 唇 摘 暫 辣 椎 碁 廉 爽 堵 媛 宏 酵 奨 享 捻 虐 顎 坐 紺 謎 絹 剪 唆 凝 貪 俸 庶 冒 鋭 喬 妃 星 妄 仰 枢 眺 華 魯 嬌 叱 脊 傷 惰 街 吽 狡 憚 壇 梗 戴 晩 湯 鈍 昌 栗 郊 俳 沃 髄 鬚 撤 恨 斥 醤 景 碑 縛 鞘 控 慄 澤 鉢 藩 喫 嘗 嬢 凶 塑 鬆 妬 噴 憾 膠 醒 惨 愧 余 悼 閥 脛 渟 稽 憬 迭 衷 姻 炊 慳 詰 醜 艇 慰 寮 織 咽 瞼 緻 搾 妊 淆 娠 憧 玩 劾 刹 茫 卦 殴 蘆 隆 絵 丘 剰 郭 笠 凄 努 倣 快 隷 菅 熟 肯 肺 滄 珊 柏 捜 虜 椅 訃 鋳 妖 栃 墓 票 摯 湖 貶 戮 巨 腋 礫 畳 板 吐 已 錮 敢 奴 硬 綾 幹 輪 楷 抓 温 撥 褐 垣 愉 滴 邦 延 阮 輸 輝 帆 哲 弐 仁 頂 周 椰 卸 惧 巴 乃 凰 史 嘲 倍 緑 羞 篠 克 菊 舅 祐 瑞 拉 焉 腸 敦 鯛 葛 寿 尚 又 苗 操 堺 璽 莉 錦 坪 純 瘍 辻
30,高 当 法
31,無
33,出
34,的 習 業 約 入
35,県 川 見
36,手 下
37,分
38,場 小
